IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
SOFIA,KOBIETA,346
SOFIIA,KOBIETA,192
SOFIJA,KOBIETA,4
SOFIYA,KOBIETA,3
SOLOMIA,KOBIETA,17
SOLOMIIA,KOBIETA,60
SOLOMIYA,KOBIETA,5
SONIA,KOBIETA,48
SOPHIA,KOBIETA,16
SOPHIE,KOBIETA,16
STANISLAV,MĘŻCZYZNA,13
STANISŁAW,MĘŻCZYZNA,3664
STANISŁAWA,KOBIETA,5
STEFAN,MĘŻCZYZNA,386
STEFANIA,KOBIETA,270
STELLA,KOBIETA,26
SVIATOSLAV,MĘŻCZYZNA,15
SVYATOSLAV,MĘŻCZYZNA,2
SYLWESTER,MĘŻCZYZNA,24
SYLWIA,KOBIETA,10
SZCZEPAN,MĘŻCZYZNA,30
SZYMON,MĘŻCZYZNA,2676
SŁAWA,KOBIETA,2
SŁAWOMIR,MĘŻCZYZNA,2
TADEI,MĘŻCZYZNA,8
TADEJ,MĘŻCZYZNA,2
TADEUSZ,MĘŻCZYZNA,944
TAMARA,KOBIETA,9
TARA,KOBIETA,2
TARAS,MĘŻCZYZNA,2
TEIA,KOBIETA,2
TEO,MĘŻCZYZNA,78
TEODOR,MĘŻCZYZNA,839
TEOFIL,MĘŻCZYZNA,4
TEONA,KOBIETA,8
TERESA,KOBIETA,45
TEYA,KOBIETA,2
THEA,KOBIETA,3
THEO,MĘŻCZYZNA,20
THEODOR,MĘŻCZYZNA,4
THEODORE,MĘŻCZYZNA,10
THOMAS,MĘŻCZYZNA,5
THÀNH ÐẠT,MĘŻCZYZNA,2
TIMOFEI,MĘŻCZYZNA,4
TIMOFEY,MĘŻCZYZNA,13
TIMUR,MĘŻCZYZNA,49
TINA,KOBIETA,4
TOBIAS,MĘŻCZYZNA,2
TOBIASZ,MĘŻCZYZNA,278
TOLA,KOBIETA,66
TOMASZ,MĘŻCZYZNA,562
TOSIA,KOBIETA,2
TUE LAM,KOBIETA,2
TYMOFII,MĘŻCZYZNA,65
TYMOFIJ,MĘŻCZYZNA,5
TYMOFIY,MĘŻCZYZNA,11
TYMON,MĘŻCZYZNA,2418
TYMOTEUSZ,MĘŻCZYZNA,1491
TYMUR,MĘŻCZYZNA,14
TYTUS,MĘŻCZYZNA,34
ULIANA,KOBIETA,12
URSZULA,KOBIETA,246
USTYM,MĘŻCZYZNA,2
VADYM,MĘŻCZYZNA,2
VALENTINA,KOBIETA,2
VALENTINO,MĘŻCZYZNA,4
VALERIA,KOBIETA,9
VALERIIA,KOBIETA,12
VAMIKA,KOBIETA,2
VANESSA,KOBIETA,26
VANI,KOBIETA,2
VARVARA,KOBIETA,22
VASILISA,KOBIETA,2
VEDIKA,KOBIETA,3
VERA,KOBIETA,2
VERONICA,KOBIETA,2
VERONIKA,KOBIETA,48
VICTOR,MĘŻCZYZNA,7
VICTORIA,KOBIETA,35
VIKTOR,MĘŻCZYZNA,13
VIKTORIA,KOBIETA,23
VIKTORIIA,KOBIETA,47
VINCENT,MĘŻCZYZNA,73
VIRA,KOBIETA,3
VITO,MĘŻCZYZNA,2
VIVIAN,KOBIETA,2
VIVIEN,KOBIETA,2
VIVIENNE,KOBIETA,10
VLADISLAV,MĘŻCZYZNA,3
VLADYSLAV,MĘŻCZYZNA,48
VLADYSLAVA,KOBIETA,3
VOLODYMYR,MĘŻCZYZNA,4
VSEVOLOD,MĘŻCZYZNA,2
WACŁAW,MĘŻCZYZNA,2
WALDEMAR,MĘŻCZYZNA,2
WALERIA,KOBIETA,6
WALTER,MĘŻCZYZNA,2
WANDA,KOBIETA,479
WERONIKA,KOBIETA,745
WIKTOR,MĘŻCZYZNA,1925
WIKTORIA,KOBIETA,2171
WILHELM,MĘŻCZYZNA,6
WILLIAM,MĘŻCZYZNA,14
WINCENT,MĘŻCZYZNA,61
WINCENTY,MĘŻCZYZNA,106
WIOLETTA,KOBIETA,2
WIT,MĘŻCZYZNA,9
WITO,MĘŻCZYZNA,3
WITOLD,MĘŻCZYZNA,440
WOJCIECH,MĘŻCZYZNA,2514
WŁADYSŁAW,MĘŻCZYZNA,88
WŁODZIMIERZ,MĘŻCZYZNA,3
XAVIER,MĘŻCZYZNA,4
XAWERY,MĘŻCZYZNA,4
YAN,MĘŻCZYZNA,7
YANA,KOBIETA,11
YARASLAU,MĘŻCZYZNA,2
YAREMA,MĘŻCZYZNA,3
YAROSLAV,MĘŻCZYZNA,32
YAROSLAVA,KOBIETA,3
YARYNA,KOBIETA,5
YASENIIA,KOBIETA,2
YASMINA,KOBIETA,4
YEHOR,MĘŻCZYZNA,11
YELYZAVETA,KOBIETA,7
YEVA,KOBIETA,58
YEVHEN,MĘŻCZYZNA,2
YEVHENIIA,KOBIETA,2
YULIIA,KOBIETA,2
YUNUS,MĘŻCZYZNA,2
YUSTYNA,KOBIETA,2
YUSUF,MĘŻCZYZNA,2
ZACHAR,MĘŻCZYZNA,3
ZACHARIASZ,MĘŻCZYZNA,2
ZACHARY,MĘŻCZYZNA,20
ZAKHAR,MĘŻCZYZNA,10
ZARA,KOBIETA,2
ZAYN,MĘŻCZYZNA,3
ZBIGNIEW,MĘŻCZYZNA,16
ZEYNEP,KOBIETA,2
ZIEMOWIT,MĘŻCZYZNA,18
ZLATA,KOBIETA,68
ZLATOSLAVA,KOBIETA,3
ZOE,KOBIETA,12
ZOEY,KOBIETA,2
ZOFIA,KOBIETA,4393
ZOJA,KOBIETA,451
ZORIANA,KOBIETA,3
ZOYA,KOBIETA,13
ZOË,KOBIETA,2
ZUZA,KOBIETA,6
ZUZANNA,KOBIETA,4069
ZYGMUNT,MĘŻCZYZNA,18
ŁUCJA,KOBIETA,1850
ŁUKASZ,MĘŻCZYZNA,119
