IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
DAYANA,KOBIETA,2
DEBORA,KOBIETA,2
DEMIAN,MĘŻCZYZNA,36
DENIS,MĘŻCZYZNA,21
DENIZ,MĘŻCZYZNA,3
DENYS,MĘŻCZYZNA,4
DEVID,MĘŻCZYZNA,2
DIANA,KOBIETA,302
DIEGO,MĘŻCZYZNA,6
DIONIZY,MĘŻCZYZNA,2
DMYTRO,MĘŻCZYZNA,37
DOBRAWA,KOBIETA,11
DOBROCHNA,KOBIETA,5
DOBROSŁAWA,KOBIETA,2
DOMINIK,MĘŻCZYZNA,793
DOMINIKA,KOBIETA,214
DORIAN,MĘŻCZYZNA,49
DOROTA,KOBIETA,106
DYLAN,MĘŻCZYZNA,2
EDGAR,MĘŻCZYZNA,2
EDMUND,MĘŻCZYZNA,23
EDWARD,MĘŻCZYZNA,79
EDWIN,MĘŻCZYZNA,2
EDYTA,KOBIETA,10
EGOR,MĘŻCZYZNA,2
ELA,KOBIETA,2
ELDAR,MĘŻCZYZNA,4
ELENA,KOBIETA,124
ELEONORA,KOBIETA,16
ELIANA,KOBIETA,12
ELIAS,MĘŻCZYZNA,4
ELIASZ,MĘŻCZYZNA,4
ELINA,KOBIETA,10
ELIO,MĘŻCZYZNA,2
ELIZA,KOBIETA,488
ELIZABETH,KOBIETA,2
ELIZAVETA,KOBIETA,6
ELLA,KOBIETA,2
ELMIRA,KOBIETA,2
ELVIRA,KOBIETA,2
ELŻBIETA,KOBIETA,71
EMANUEL,MĘŻCZYZNA,7
EMIL,MĘŻCZYZNA,276
EMILI,KOBIETA,5
EMILIA,KOBIETA,2470
EMILIAN,MĘŻCZYZNA,16
EMILIIA,KOBIETA,125
EMILIO,MĘŻCZYZNA,2
EMILY,KOBIETA,17
EMIR,MĘŻCZYZNA,2
EMMA,KOBIETA,206
EMMANUEL,MĘŻCZYZNA,4
ENEJ,MĘŻCZYZNA,2
ENZO,MĘŻCZYZNA,4
ERIK,MĘŻCZYZNA,6
ERIKA,KOBIETA,2
ERNEST,MĘŻCZYZNA,78
ERYK,MĘŻCZYZNA,342
ESTER,KOBIETA,3
ESTERA,KOBIETA,66
ETHAN,MĘŻCZYZNA,9
EUGENIA,KOBIETA,3
EUGENIUSZ,MĘŻCZYZNA,2
EULALIA,KOBIETA,2
EVA,KOBIETA,83
EVAN,MĘŻCZYZNA,2
EVELINA,KOBIETA,33
EWA,KOBIETA,281
EWELINA,KOBIETA,37
EZRA,MĘŻCZYZNA,3
FABIAN,MĘŻCZYZNA,565
FATIMA,KOBIETA,11
FAUSTYNA,KOBIETA,59
FELICJA,KOBIETA,249
FELICJAN,MĘŻCZYZNA,23
FELIKS,MĘŻCZYZNA,353
FELIX,MĘŻCZYZNA,17
FILIP,MĘŻCZYZNA,3002
FILOMENA,KOBIETA,3
FINN,MĘŻCZYZNA,2
FIODOR,MĘŻCZYZNA,2
FLAVIA,KOBIETA,2
FLAWIA,KOBIETA,3
FLORA,KOBIETA,22
FLORENCJA,KOBIETA,2
FLORENTYNA,KOBIETA,76
FLORIAN,MĘŻCZYZNA,279
FLORIANA,KOBIETA,2
FLORIANNA,KOBIETA,3
FRANCESCA,KOBIETA,2
FRANCESCO,MĘŻCZYZNA,4
FRANCISZEK,MĘŻCZYZNA,4514
FRANCISZKA,KOBIETA,75
FRANEK,MĘŻCZYZNA,4
FREYA,KOBIETA,4
FRYDERYK,MĘŻCZYZNA,83
GABRIEL,MĘŻCZYZNA,1610
GABRIELA,KOBIETA,1752
GABRIELLA,KOBIETA,7
GAIA,KOBIETA,11
GAJA,KOBIETA,448
GERARD,MĘŻCZYZNA,2
GIA KHANG,MĘŻCZYZNA,2
GIA LINH,KOBIETA,2
GIOVANNI,MĘŻCZYZNA,4
GIULIA,KOBIETA,2
GLEB,MĘŻCZYZNA,2
GLORIA,KOBIETA,65
GNIEWKO,MĘŻCZYZNA,25
GNIEWOMIR,MĘŻCZYZNA,34
GRACJA,KOBIETA,5
GRACJAN,MĘŻCZYZNA,47
GRETA,KOBIETA,2
GRZEGORZ,MĘŻCZYZNA,282
GUSTAW,MĘŻCZYZNA,300
HALINA,KOBIETA,13
HALSZKA,KOBIETA,7
HANNA,KOBIETA,3842
HARRY,MĘŻCZYZNA,2
HECTOR,MĘŻCZYZNA,2
HEKTOR,MĘŻCZYZNA,5
HELENA,KOBIETA,2150
HENRY,MĘŻCZYZNA,9
HENRYK,MĘŻCZYZNA,824
HIACYNTA,KOBIETA,7
HIERONIM,MĘŻCZYZNA,8
HOLLY,KOBIETA,2
HONORATA,KOBIETA,8
HOÀNG BÁCH,MĘŻCZYZNA,2
HUBERT,MĘŻCZYZNA,939
HUGO,MĘŻCZYZNA,94
IDA,KOBIETA,207
IDALIA,KOBIETA,32
IDRIS,MĘŻCZYZNA,4
IGA,KOBIETA,2286
IGNACJA,KOBIETA,2
IGNACY,MĘŻCZYZNA,4178
IGOR,MĘŻCZYZNA,1568
ILIA,MĘŻCZYZNA,4
ILIAN,MĘŻCZYZNA,2
ILLIA,MĘŻCZYZNA,21
ILLYA,MĘŻCZYZNA,2
ILONA,KOBIETA,7
ILYA,MĘŻCZYZNA,2
INA,KOBIETA,8
INES,KOBIETA,18
INEZ,KOBIETA,27
INGA,KOBIETA,42
INKA,KOBIETA,20
IRENA,KOBIETA,73
IRENEUSZ,MĘŻCZYZNA,2
IRIS,KOBIETA,2
IRMINA,KOBIETA,2
ISABELLA,KOBIETA,5
IVAAN,MĘŻCZYZNA,2
IVAN,MĘŻCZYZNA,18
IVANKA,KOBIETA,2
IVANNA,KOBIETA,2
IVO,MĘŻCZYZNA,4
IWO,MĘŻCZYZNA,113
IZA,KOBIETA,2
IZABELA,KOBIETA,317
IZABELLA,KOBIETA,26
JACEK,MĘŻCZYZNA,56
JACOB,MĘŻCZYZNA,2
JADWIGA,KOBIETA,201
JAGNA,KOBIETA,220
JAGODA,KOBIETA,1269
JAIVIK,MĘŻCZYZNA,2
JAKUB,MĘŻCZYZNA,3855
JAMES,MĘŻCZYZNA,2
JAN,MĘŻCZYZNA,5183
JANA,KOBIETA,13
JANINA,KOBIETA,97
JANKA,KOBIETA,2
JANNA,KOBIETA,2
JANUSZ,MĘŻCZYZNA,2
JAREMA,MĘŻCZYZNA,2
JAROMIR,MĘŻCZYZNA,2
JAROSLAV,MĘŻCZYZNA,4
JAROSLAW,MĘŻCZYZNA,2
JAROSŁAW,MĘŻCZYZNA,6
JASMIN,KOBIETA,2
JASMINA,KOBIETA,12
JASMINE,KOBIETA,2
JAŚMINA,KOBIETA,677
JEREMI,MĘŻCZYZNA,126
JEREMIASZ,MĘŻCZYZNA,73
JERZY,MĘŻCZYZNA,264
JOACHIM,MĘŻCZYZNA,31
JOANNA,KOBIETA,229
JOEL,MĘŻCZYZNA,3
JOLANTA,KOBIETA,3
JONASZ,MĘŻCZYZNA,16
JONATAN,MĘŻCZYZNA,9
JORDAN,MĘŻCZYZNA,3
JOSEPHINE,KOBIETA,2
JOWITA,KOBIETA,17
JUAN,MĘŻCZYZNA,2
JUDYTA,KOBIETA,19
JULIA,KOBIETA,3398
JULIAN,MĘŻCZYZNA,1767
JULIANNA,KOBIETA,40
JULIIA,KOBIETA,2
JULITA,KOBIETA,32
JULIUSZ,MĘŻCZYZNA,153
JUSTYNA,KOBIETA,29
JÓZEF,MĘŻCZYZNA,469
JÓZEFINA,KOBIETA,50
JĘDRZEJ,MĘŻCZYZNA,75
KACPER,MĘŻCZYZNA,2119
KAI,MĘŻCZYZNA,26
KAIA,KOBIETA,4
KAJ,MĘŻCZYZNA,2
KAJA,KOBIETA,1005
KAJETAN,MĘŻCZYZNA,440
KALINA,KOBIETA,250
KAMIL,MĘŻCZYZNA,344
KAMILA,KOBIETA,131
KARINA,KOBIETA,12
KAROL,MĘŻCZYZNA,702
KAROLINA,KOBIETA,490
KASJAN,MĘŻCZYZNA,9
KASPER,MĘŻCZYZNA,4
KASPIAN,MĘŻCZYZNA,18
KATARZYNA,KOBIETA,177
KATERYNA,KOBIETA,17
KAYA,KOBIETA,8
KAYLA,KOBIETA,3
KAZIMIERZ,MĘŻCZYZNA,507
KEVIN,MĘŻCZYZNA,20
KHRYSTYNA,KOBIETA,3
KIARA,KOBIETA,4
KILIAN,MĘŻCZYZNA,4
KINGA,KOBIETA,347
KIRA,KOBIETA,60
KIRIL,MĘŻCZYZNA,3
KIRILL,MĘŻCZYZNA,5
KLARA,KOBIETA,2237
KLAUDIA,KOBIETA,126
KLEMENS,MĘŻCZYZNA,22
KLEMENTYNA,KOBIETA,29
KLIMEK,MĘŻCZYZNA,3
KONRAD,MĘŻCZYZNA,134
KONSTANCJA,KOBIETA,53
KONSTANTY,MĘŻCZYZNA,269
KONSTANTYN,MĘŻCZYZNA,5
KORA,KOBIETA,2
KORDIAN,MĘŻCZYZNA,81
KORNEL,MĘŻCZYZNA,353
KORNELIA,KOBIETA,1699
KORNELIUSZ,MĘŻCZYZNA,22
KOSMA,MĘŻCZYZNA,37
KRISHIV,MĘŻCZYZNA,2
KRISTIAN,MĘŻCZYZNA,6
KRYSTIAN,MĘŻCZYZNA,176
KRYSTYNA,KOBIETA,61
KRZESIMIR,MĘŻCZYZNA,5
KRZYSZTOF,MĘŻCZYZNA,883
KSAWERY,MĘŻCZYZNA,673
KSAWIER,MĘŻCZYZNA,2
KSENIA,KOBIETA,9
KSENIIA,KOBIETA,3
KUBA,MĘŻCZYZNA,395
KVITOSLAVA,KOBIETA,2
KYRYLO,MĘŻCZYZNA,7
LAILA,KOBIETA,9
LANA,KOBIETA,2
LARA,KOBIETA,140
LARS,MĘŻCZYZNA,2
LARYSA,KOBIETA,2
LAURA,KOBIETA,3914
LAVRIN,MĘŻCZYZNA,2
LAYLA,KOBIETA,16
LEA,KOBIETA,94
LECH,MĘŻCZYZNA,6
LEIA,KOBIETA,7
LEILA,KOBIETA,4
LENA,KOBIETA,2280
LEO,MĘŻCZYZNA,478
LEOKADIA,KOBIETA,12
LEON,MĘŻCZYZNA,4525
LEONA,KOBIETA,2
LEONARD,MĘŻCZYZNA,492
LEONARDO,MĘŻCZYZNA,38
LEONIA,KOBIETA,12
LEOPOLD,MĘŻCZYZNA,26
LESZEK,MĘŻCZYZNA,17
LESŁAW,MĘŻCZYZNA,4
LETYCJA,KOBIETA,19
LEV,MĘŻCZYZNA,41
LEVI,MĘŻCZYZNA,2
LEW,MĘŻCZYZNA,34
LEYLA,KOBIETA,4
LIA,KOBIETA,20
LIAM,MĘŻCZYZNA,142
LIANA,KOBIETA,3
LIDIA,KOBIETA,295
LIIA,KOBIETA,2
LILA,KOBIETA,124
LILI,KOBIETA,15
LILIA,KOBIETA,208
LILIANA,KOBIETA,2325
LILIANNA,KOBIETA,1248
LILITH,KOBIETA,2
LILLA,KOBIETA,6
LILLY,KOBIETA,10
LILY,KOBIETA,20
LINA,KOBIETA,3
LIONEL,MĘŻCZYZNA,3
LISA,KOBIETA,6
LIUBOMYR,MĘŻCZYZNA,2
LIVIA,KOBIETA,35
LIWIA,KOBIETA,654
LIYA,KOBIETA,5
LIZA,KOBIETA,2
LOLA,KOBIETA,2
LORENZO,MĘŻCZYZNA,3
LOUIE,MĘŻCZYZNA,2
LOUIS,MĘŻCZYZNA,7
LUCA,MĘŻCZYZNA,2
LUCAS,MĘŻCZYZNA,5
LUCIA,KOBIETA,2
LUCJAN,MĘŻCZYZNA,159
LUCJUSZ,MĘŻCZYZNA,7
LUCYNA,KOBIETA,41
LUDWIK,MĘŻCZYZNA,99
LUDWIKA,KOBIETA,2
LUIS,MĘŻCZYZNA,6
LUIZA,KOBIETA,217
LUKA,MĘŻCZYZNA,40
LUKIAN,MĘŻCZYZNA,6
LUNA,KOBIETA,57
MACIEJ,MĘŻCZYZNA,566
MAGDA,KOBIETA,5
MAGDALENA,KOBIETA,391
MAIIA,KOBIETA,4
MAJA,KOBIETA,4525
MAJKA,KOBIETA,2
MAKAR,MĘŻCZYZNA,56
MAKARII,MĘŻCZYZNA,2
MAKARY,MĘŻCZYZNA,4
MAKS,MĘŻCZYZNA,61
MAKSIM,MĘŻCZYZNA,15
MAKSYM,MĘŻCZYZNA,202
MAKSYMILIAN,MĘŻCZYZNA,2490
MALINA,KOBIETA,35
MALWINA,KOBIETA,257
MANUEL,MĘŻCZYZNA,4
MANUELA,KOBIETA,3
MARCEL,MĘŻCZYZNA,2280
MARCELA,KOBIETA,3
MARCELI,MĘŻCZYZNA,23
MARCELINA,KOBIETA,2275
MARCELO,MĘŻCZYZNA,2
MARCIN,MĘŻCZYZNA,150
MARCJANNA,KOBIETA,18
MARCO,MĘŻCZYZNA,5
MARCUS,MĘŻCZYZNA,2
MAREK,MĘŻCZYZNA,109
MARGARITA,KOBIETA,4
MARHARYTA,KOBIETA,2
MARIA,KOBIETA,2623
MARIAM,KOBIETA,4
MARIAN,MĘŻCZYZNA,2
MARIANA,KOBIETA,2
MARIANNA,KOBIETA,410
MARIETTA,KOBIETA,2
